x,y
1327,2203
1347,2205
1349,2207
1368,2210
1376,2213
1382,2213
1398,2218
1417,2220
1434,2224
1451,2233
1463,2237
1464,2239
1474,2243
1475,2245
1485,2250
1487,2253
1495,2257
1497,2260
1506,2265
1512,2271
1514,2271
1519,2276
1524,2278
1526,2281
1534,2285
1548,2299
1549,2303
1553,2305
1606,2358
1606,2360
1612,2365
1612,2367
1617,2371
1617,2373
1622,2377
1622,2379
1626,2382
1629,2388
1633,2391
1633,2393
1642,2403
1642,2405
1650,2414
1650,2416
1670,2437
1672,2437
1675,2441
1677,2441
1687,2450
1689,2450
1696,2456
1700,2457
1701,2459
1705,2460
1706,2462
1717,2467
1721,2467
1728,2470
1734,2470
1738,2474
1738,2482
1734,2490
1730,2508
1724,2563
1713,2606
1708,2638
1688,2698
1687,2705
1680,2719
1680,2722
1675,2730
1675,2733
1671,2739
1671,2742
1666,2750
1666,2753
1660,2763
1660,2766
1653,2780
1651,2781
1639,2805
1638,2810
1636,2811
1622,2840
1620,2841
1609,2865
1607,2866
1599,2884
1597,2885
1579,2923
1577,2924
1572,2934
1572,2937
1564,2951
1564,2954
1559,2962
1553,2979
1550,2983
1541,3010
1539,3012
1538,3018
1536,3020
1527,3051
1523,3057
1523,3060
1519,3068
1515,3086
1513,3088
1513,3092
1504,3119
1500,3142
1495,3156
1492,3172
1486,3190
1484,3192
1482,3201
1480,3202
1476,3210
1474,3220
1472,3223
1466,3253
1461,3302
1460,3410
1454,3490
1445,3546
1445,3554
1438,3588
1437,3600
1435,3605
1435,3611
1427,3643
1426,3653
1421,3673
1419,3676
1419,3680
1414,3693
1414,3697
1412,3699
1408,3715
1406,3717
1404,3726
1402,3728
1401,3734
1396,3743
1394,3751
1391,3755
1391,3758
1364,3812
1362,3813
1361,3817
1359,3818
1358,3822
1349,3834
1348,3838
1341,3846
1340,3850
1335,3855
1335,3857
1333,3858
1333,3860
1331,3861
1323,3875
1320,3877
1318,3882
1315,3884
1313,3889
1310,3891
1308,3896
1303,3901
1303,3903
1300,3905
1300,3907
1297,3909
1295,3914
1292,3916
1290,3921
1287,3923
1285,3928
1280,3933
1280,3935
1277,3937
1275,3942
1272,3944
1272,3946
1270,3947
1270,3949
1268,3950
1268,3952
1266,3953
1266,3955
1261,3960
1260,3964
1250,3977
1249,3981
1243,3988
1242,3992
1240,3993
1234,4005
1232,4006
1230,4012
1228,4013
1226,4019
1224,4020
1197,4075
1197,4078
1190,4092
1188,4101
1186,4103
1176,4138
1173,4143
1165,4184
1164,4210
1166,4208
1170,4208
1175,4213
1186,4238
1185,4252
1181,4256
1174,4256
1156,4253
1150,4250
1141,4250
1136,4247
1121,4246
1119,4244
1112,4244
1110,4242
1099,4241
1097,4239
1077,4238
1070,4235
1045,4233
1042,4230
1034,4230
1026,4227
1007,4224
993,4213
983,4208
980,4208
976,4204
976,4199
981,4193
987,4181
989,4180
994,4169
996,4168
1003,4153
1003,4150
1005,4148
1006,4142
1008,4140
1014,4123
1018,4105
1020,4103
1031,4070
1032,4062
1034,4060
1039,4038
1041,4035
1041,4030
1043,4027
1047,4007
1050,4000
1050,3995
1053,3987
1054,3977
1056,3973
1063,3938
1063,3931
1067,3914
1067,3907
1069,3901
1078,3838
1080,3815
1085,3790
1085,3783
1087,3778
1089,3759
1091,3754
1091,3747
1098,3714
1098,3707
1104,3678
1105,3666
1107,3661
1109,3643
1111,3638
1111,3632
1121,3583
1123,3579
1123,3574
1129,3553
1129,3548
1131,3545
1133,3532
1135,3529
1137,3517
1141,3507
1142,3499
1144,3497
1146,3486
1183,3379
1189,3355
1189,3350
1191,3347
1192,3339
1194,3336
1194,3332
1196,3329
1196,3325
1198,3322
1199,3314
1204,3299
1214,3241
1220,3224
1223,3209
1227,3205
1230,3205
1233,3208
1235,3222
1232,3165
1233,3129
1239,3076
1242,3065
1244,3046
1249,3029
1254,2981
1256,2978
1253,2874
1253,2807
1256,2718
1261,2644
1269,2572
1277,2516
1279,2510
1279,2503
1289,2456
1289,2450
1292,2441
1304,2361
1306,2356
1312,2316
1314,2312
1314,2306
1320,2278
1323,2249
1324,2206
