x,y
1695,253
1716,253
1741,257
1744,259
1757,262
1763,266
1766,266
1780,275
1785,275
1794,272
1816,273
1823,275
1827,278
1830,278
1835,282
1843,285
1844,287
1847,287
1864,295
1865,297
1869,298
1877,305
1882,307
1886,312
1888,312
1909,333
1909,335
1913,338
1913,340
1916,342
1918,347
1923,352
1924,356
1926,357
1930,367
1932,368
1936,376
1936,379
1940,385
1943,396
1945,398
1955,433
1957,447
1957,483
1955,493
1956,519
1961,537
1966,547
1968,548
1970,554
1972,555
1972,558
1975,563
1977,575
1976,593
1969,614
1966,620
1964,621
1962,627
1960,628
1959,632
1951,641
1951,643
1946,647
1946,649
1936,658
1936,660
1928,668
1926,668
1921,674
1919,674
1915,678
1901,685
1888,688
1877,687
1874,700
1871,704
1871,707
1866,717
1864,718
1860,726
1859,732
1858,811
1860,827
1865,849
1875,874
1877,875
1878,879
1880,880
1886,891
1904,909
1906,909
1909,913
1911,913
1917,919
1929,925
1930,927
1972,948
1975,948
1989,955
1998,957
2000,959
2039,972
2043,972
2044,988
1402,988
1402,986
1463,966
1469,962
1472,962
1481,957
1489,955
1499,949
1502,949
1522,939
1528,934
1532,933
1545,922
1549,921
1550,919
1560,914
1571,904
1571,902
1574,900
1574,898
1577,896
1577,894
1580,892
1580,890
1586,883
1594,867
1602,839
1602,820
1606,797
1606,733
1602,729
1601,725
1599,724
1598,720
1596,719
1591,709
1584,688
1576,685
1547,685
1536,680
1528,672
1522,656
1520,656
1508,643
1500,639
1491,630
1491,628
1488,626
1488,624
1482,617
1474,599
1470,579
1470,552
1465,565
1463,581
1464,592
1466,597
1462,594
1461,590
1458,588
1455,582
1451,569
1451,539
1457,518
1469,493
1471,492
1475,483
1477,482
1477,480
1483,473
1484,469
1488,465
1497,448
1502,431
1507,402
1510,397
1515,379
1526,358
1537,345
1537,343
1541,340
1541,338
1546,334
1546,332
1558,321
1558,319
1564,313
1566,313
1580,299
1582,299
1584,296
1594,291
1595,289
1599,288
1600,286
1604,285
1605,283
1625,273
1646,266
1648,264
1676,256
