x,y
813,4147
826,4147
862,4158
886,4159
903,4163
958,4194
980,4201
997,4209
998,4211
1006,4215
1010,4220
1016,4221
1018,4223
1035,4227
1071,4231
1086,4236
1090,4239
1097,4239
1105,4242
1114,4242
1117,4244
1126,4244
1134,4248
1140,4248
1147,4251
1156,4251
1158,4254
1169,4256
1170,4258
1187,4261
1193,4267
1197,4268
1205,4278
1211,4290
1214,4304
1216,4307
1218,4322
1220,4326
1220,4340
1214,4358
1212,4359
1210,4364
1204,4369
1204,4371
1188,4386
1179,4390
1176,4393
1158,4398
1128,4398
1107,4393
1091,4392
1086,4390
1051,4389
1035,4391
1010,4397
997,4398
987,4401
953,4403
933,4401
907,4395
890,4389
874,4381
872,4378
868,4377
865,4373
863,4373
856,4366
854,4366
841,4353
841,4351
839,4350
839,4348
837,4347
832,4338
831,4332
814,4333
806,4342
795,4347
783,4347
778,4345
775,4342
772,4335
773,4322
775,4319
777,4309
763,4303
759,4299
755,4290
755,4281
757,4275
761,4270
762,4266
764,4265
764,4263
760,4260
760,4258
757,4255
755,4242
759,4230
767,4223
776,4220
777,4211
780,4205
784,4202
784,4200
798,4193
798,4189
796,4186
797,4162
800,4159
801,4155
806,4150
