x,y
1462,2216
2039,2216
2040,2218
2033,2222
2032,2224
2030,2224
2029,2226
2003,2239
2002,2241
1991,2246
1990,2248
1983,2251
1979,2255
1975,2256
1971,2260
1967,2261
1963,2265
1959,2266
1955,2270
1951,2271
1950,2273
1942,2277
1940,2280
1932,2284
1930,2287
1926,2288
1923,2293
1921,2293
1909,2305
1907,2305
1907,2307
1903,2309
1901,2314
1897,2317
1897,2319
1893,2322
1889,2329
1884,2333
1884,2335
1878,2340
1878,2342
1861,2358
1861,2360
1852,2369
1852,2371
1842,2384
1836,2398
1834,2399
1815,2437
1813,2438
1807,2449
1792,2464
1785,2468
1768,2472
1733,2473
1722,2471
1719,2469
1714,2469
1712,2467
1707,2466
1706,2464
1702,2463
1701,2461
1697,2460
1696,2458
1685,2452
1683,2449
1681,2449
1679,2446
1673,2443
1668,2437
1666,2437
1645,2415
1645,2413
1642,2411
1642,2409
1639,2407
1637,2402
1632,2397
1632,2395
1628,2392
1628,2390
1618,2379
1618,2377
1613,2373
1613,2371
1602,2360
1602,2358
1551,2307
1549,2307
1539,2297
1538,2294
1535,2293
1533,2288
1528,2286
1526,2283
1521,2281
1519,2278
1514,2276
1508,2270
1503,2268
1501,2265
1499,2265
1497,2262
1492,2260
1490,2257
1488,2257
1475,2247
1462,2241
