x,y
1384,1384
1383,1349
1400,1298
1399,1273
1397,1263
1395,1262
1395,1229
1399,1178
1401,1172
1403,1147
1408,1123
1408,1115
1412,1100
1412,1091
1418,1055
1421,1023
1425,1009
1426,998
1428,996
1428,993
1431,989
1434,980
1455,974
1459,971
1477,965
1483,961
1498,956
1524,943
1525,941
1542,932
1544,929
1546,929
1547,927
1555,923
1557,920
1559,920
1561,917
1563,917
1576,904
1579,898
1681,899
1755,902
1841,901
1869,898
1889,898
1890,901
1898,909
1900,909
1913,921
1915,921
1922,927
1926,928
1927,930
1933,932
1934,934
1958,946
1961,946
1973,953
1976,953
1982,957
1988,958
1995,962
2017,969
2021,969
2024,971
2029,971
2054,979
2058,979
2063,982
2066,989
2072,1017
2077,1083
2077,1167
2080,1189
2081,1257
2075,1269
2074,1280
2080,1322
2081,1352
2079,1371
2074,1388
2067,1402
2059,1412
2064,1414
2064,1421
2050,1496
2042,1566
2028,1651
2026,1677
2026,1739
2029,1765
2039,1805
2041,1807
2045,1820
2049,1826
2049,1829
2053,1834
2057,1847
2066,1864
2066,1867
2070,1873
2070,1876
2077,1889
2077,1892
2083,1902
2083,1905
2090,1918
2090,1921
2093,1925
2118,1997
2131,2048
2137,2094
2139,2099
2139,2107
2144,2130
2144,2137
2151,2165
2150,2172
2142,2173
2134,2177
2131,2177
2127,2180
2124,2180
2121,2183
2114,2185
2101,2193
2089,2196
2080,2203
2076,2203
2074,2206
2068,2208
2067,2210
2059,2213
2057,2216
2045,2222
2037,2222
2013,2234
2012,2236
1993,2246
1992,2248
1990,2248
1989,2250
1987,2250
1974,2260
1970,2261
1969,2263
1967,2263
1966,2265
1952,2273
1939,2284
1937,2284
1935,2288
1927,2296
1920,2299
1913,2306
1913,2308
1899,2320
1721,2318
1653,2313
1634,2313
1607,2310
1554,2311
1551,2308
1549,2308
1546,2304
1542,2304
1538,2299
1536,2299
1533,2296
1531,2290
1529,2290
1526,2286
1520,2283
1517,2279
1515,2279
1505,2270
1500,2268
1498,2265
1496,2265
1494,2262
1492,2262
1479,2252
1465,2245
1459,2245
1426,2230
1389,2224
1378,2220
1348,2215
1342,2212
1328,2211
1325,2209
1326,2178
1330,2133
1336,2109
1336,2104
1338,2100
1343,2069
1347,2056
1347,2050
1349,2045
1351,2027
1354,2017
1364,1957
1366,1954
1371,1934
1373,1932
1375,1923
1380,1914
1382,1906
1387,1898
1387,1895
1391,1889
1391,1886
1398,1872
1400,1871
1411,1847
1413,1846
1419,1834
1419,1831
1433,1805
1433,1802
1439,1790
1447,1756
1454,1706
1455,1683
1452,1649
1450,1644
1446,1617
1442,1605
1439,1586
1428,1544
1425,1523
1419,1499
1417,1475
1412,1445
1412,1436
1414,1434
1411,1431
1409,1431
1395,1415
1389,1403
