x,y
2399,2399
2380,2361
2378,2360
2369,2341
2367,2340
2361,2327
2359,2326
2343,2292
2341,2291
2335,2277
2333,2276
2330,2268
2325,2262
2312,2236
2310,2228
2301,2212
2301,2209
2298,2205
2298,2202
2295,2198
2295,2195
2292,2191
2292,2188
2289,2184
2289,2181
2286,2177
2286,2174
2275,2151
2271,2135
2268,2129
2268,2125
2265,2119
2265,2115
2262,2109
2262,2105
2260,2102
2260,2098
2258,2095
2258,2091
2256,2088
2250,2064
2250,2059
2248,2055
2248,2050
2241,2026
2237,2001
2231,1977
2229,1974
2224,1949
2224,1883
2222,1852
2213,1798
2209,1763
2197,1695
2189,1624
2174,1563
2172,1561
2170,1554
2169,1557
2167,1557
2169,1550
2168,1542
2172,1538
2173,1534
2173,1532
2171,1531
2172,1519
2176,1515
2176,1512
2178,1510
2178,1505
2182,1492
2184,1451
2192,1408
2192,1398
2194,1395
2195,1384
2202,1364
2202,1350
2204,1345
2204,1338
2205,1335
2207,1334
2209,1316
2215,1301
2215,1296
2218,1292
2218,1287
2220,1285
2222,1273
2228,1264
2228,1258
2231,1253
2232,1245
2235,1242
2235,1238
2237,1237
2244,1220
2249,1215
2249,1212
2251,1211
2252,1207
2256,1204
2258,1197
2263,1192
2266,1182
2270,1177
2274,1164
2271,1163
2272,1159
2276,1160
2278,1163
2287,1168
2293,1174
2301,1178
2317,1194
2319,1194
2330,1206
2332,1211
2335,1213
2335,1215
2338,1217
2338,1219
2341,1221
2341,1223
2347,1230
2348,1234
2350,1235
2356,1246
2361,1261
2370,1278
2371,1284
2373,1286
2379,1304
2381,1316
2389,1341
2400,1393
2404,1425
2408,1517
2406,1540
2402,1554
2402,1564
2410,1628
2411,1663
2418,1739
2435,1874
2443,1911
2445,1914
2445,1918
2447,1921
2447,1925
2451,1934
2454,1947
2462,1963
2462,1966
2470,1982
2470,1985
2474,1991
2479,2006
2485,2016
2499,2056
2500,2064
2502,2067
2503,2075
2505,2078
2505,2082
2512,2104
2518,2140
2524,2165
2524,2171
2526,2176
2531,2211
2537,2241
2541,2253
2541,2258
2546,2274
2554,2317
2558,2327
2561,2343
2563,2346
2565,2358
2572,2378
2574,2389
2579,2400
2590,2436
2594,2443
2595,2449
2597,2451
2599,2460
2601,2462
2602,2468
2607,2477
2611,2490
2607,2493
2601,2492
2597,2496
2591,2498
2590,2500
2587,2500
2581,2505
2551,2517
2514,2524
2512,2526
2501,2528
2485,2534
2458,2537
2452,2517
2449,2513
2442,2493
2436,2482
2428,2458
2420,2443
2417,2433
2414,2427
2412,2426
