x,y
1816,404
1819,407
1855,406
1859,407
1860,411
1867,412
1871,415
1879,413
1879,415
1882,417
1897,419
1898,421
1904,421
1913,425
1914,429
1918,430
1919,434
1925,440
1927,440
1932,445
1955,456
1958,461
1963,461
1963,463
1966,464
1970,470
1974,471
1980,478
1980,480
1982,481
1990,495
1992,496
1992,503
1999,505
1999,509
2002,510
2006,515
2010,515
2010,513
2013,513
2013,520
2020,524
2016,527
2014,536
2017,551
2020,558
2020,561
2016,562
2015,568
2016,575
2018,577
2018,584
2016,585
2017,596
2015,601
2015,610
2019,613
2021,622
2017,623
2013,628
2012,640
2014,643
2013,646
2015,650
2015,659
2012,667
2011,676
2004,678
2001,681
2005,684
2018,683
2022,687
2023,711
2025,715
2025,734
2018,759
2016,761
2010,779
2007,783
2007,786
2004,790
2003,814
2001,824
1998,830
1990,836
1982,837
1975,835
1973,833
1965,839
1962,857
1954,880
1950,885
1950,903
1947,915
1943,947
1943,980
1949,1007
1959,1021
1925,1017
1899,1017
1895,1019
1868,1019
1861,1021
1850,1021
1831,1017
1802,1017
1794,1015
1765,1014
1752,1017
1743,1017
1734,1014
1649,1017
1648,1015
1656,1007
1666,988
1672,968
1674,950
1673,912
1670,903
1669,889
1667,888
1666,883
1655,862
1649,837
1642,836
1639,834
1626,834
1619,829
1614,819
1612,807
1609,804
1600,786
1596,766
1589,753
1587,726
1583,708
1583,693
1586,685
1589,682
1599,681
1603,676
1594,676
1592,672
1591,662
1588,653
1588,646
1585,637
1586,633
1585,630
1582,628
1582,614
1579,611
1580,608
1584,609
1585,605
1583,600
1586,598
1586,595
1584,594
1586,585
1582,580
1583,574
1586,572
1585,567
1587,566
1588,562
1587,559
1583,556
1588,551
1588,548
1585,547
1585,545
1590,541
1594,534
1598,532
1604,519
1612,509
1616,499
1620,496
1620,490
1643,467
1644,463
1639,464
1639,462
1641,462
1643,459
1650,459
1651,453
1657,450
1661,450
1663,447
1675,443
1682,436
1683,433
1687,433
1690,430
1695,429
1702,430
1702,428
1713,426
1713,423
1721,424
1723,423
1723,419
1730,419
1733,417
1733,414
1738,414
1739,411
1746,409
1767,406
1768,408
1774,407
1778,408
1779,410
1787,410
1799,407
1801,405
1811,407
