x,y
1022,2505
1057,2506
1063,2509
1074,2509
1077,2511
1089,2512
1092,2514
1099,2515
1108,2515
1113,2517
1177,2522
1173,2548
1173,2568
1171,2571
1171,2575
1180,2593
1186,2617
1186,2647
1181,2688
1180,2737
1177,2759
1173,2768
1173,2815
1165,2872
1165,2884
1162,2899
1155,2920
1154,2929
1149,2941
1145,2945
1136,2945
1129,2941
1125,2935
1123,2923
1123,2902
1126,2888
1126,2865
1124,2856
1121,2804
1119,2796
1115,2794
1109,2797
1107,2803
1105,2817
1101,2829
1096,2863
1082,2905
1076,2935
1072,2947
1070,2949
1061,2980
1057,2988
1049,2995
1040,2996
1032,2992
1028,2988
1024,2980
1023,2959
1032,2912
1031,2891
1021,2931
1019,2950
1016,2959
1012,2984
1007,3000
1004,3004
1001,3013
997,3018
995,3018
991,3022
983,3022
977,3019
970,3010
966,2997
966,2979
970,2943
977,2912
976,2887
979,2869
984,2852
984,2844
988,2825
988,2812
980,2841
976,2874
968,2905
964,2936
958,2956
953,2967
946,2975
938,2976
927,2967
923,2960
920,2949
920,2858
926,2798
927,2772
927,2719
925,2700
923,2696
920,2675
917,2674
915,2677
913,2677
911,2680
909,2680
903,2686
901,2686
897,2691
889,2695
877,2709
860,2718
842,2724
816,2725
812,2723
802,2722
798,2720
796,2717
794,2705
796,2700
800,2696
810,2691
811,2689
823,2684
832,2676
832,2674
836,2671
836,2669
838,2668
838,2666
840,2665
848,2651
854,2646
856,2646
858,2643
860,2643
870,2632
870,2630
885,2615
889,2605
900,2593
907,2577
916,2566
918,2566
923,2561
927,2560
928,2558
932,2557
933,2555
935,2555
936,2553
950,2545
967,2526
986,2520
996,2514
