x,y
1613,2317
2004,2318
1995,2343
1994,2354
1991,2356
1989,2365
1987,2367
1987,2369
1989,2370
1987,2374
1987,2379
1982,2385
1981,2390
1978,2394
1972,2415
1970,2417
1964,2436
1954,2458
1953,2464
1951,2466
1943,2491
1937,2503
1936,2509
1926,2531
1925,2537
1923,2539
1922,2545
1920,2547
1918,2556
1916,2558
1914,2567
1912,2569
1904,2593
1894,2613
1894,2616
1888,2627
1888,2630
1886,2632
1880,2649
1878,2650
1874,2658
1860,2670
1851,2675
1841,2678
1830,2678
1829,2676
1823,2676
1819,2678
1799,2677
1798,2679
1794,2679
1770,2673
1755,2658
1730,2608
1728,2607
1715,2579
1713,2578
1701,2554
1699,2547
1697,2546
1688,2528
1688,2525
1682,2515
1682,2512
1671,2492
1671,2489
1654,2455
1645,2428
1643,2426
1642,2420
1640,2418
1637,2407
1631,2395
1615,2344
1613,2343
1608,2333
1607,2323
1611,2322
