x,y
1408,1408
1405,1384
1403,1329
1400,1302
1395,1185
1390,1165
1389,1141
1416,1127
1445,1118
1454,1113
1469,1108
1472,1105
1483,1100
1487,1096
1493,1094
1497,1090
1501,1089
1502,1087
1548,1064
1570,1057
1577,1053
1598,1047
1611,1040
1619,1038
1628,1031
1630,1031
1632,1028
1634,1028
1636,1025
1638,1025
1641,1021
1643,1021
1643,1019
1647,1015
1673,1016
1746,1013
1747,1017
1750,1017
1751,1014
1764,1014
1874,1017
1876,1021
1879,1017
1925,1017
1956,1021
1961,1020
1967,1026
1979,1032
1985,1033
1998,1039
2018,1044
2020,1046
2035,1050
2037,1052
2043,1053
2052,1058
2065,1062
2081,1070
2082,1072
2091,1075
2092,1077
2096,1078
2100,1082
2114,1089
2116,1092
2128,1098
2129,1100
2135,1102
2136,1104
2180,1122
2180,1217
2185,1247
2188,1255
2189,1271
2192,1283
2192,1296
2194,1302
2197,1405
2195,1410
2192,1431
2192,1444
2190,1456
2190,1507
2187,1530
2184,1536
2180,1538
2180,1540
2170,1553
2170,1561
2173,1562
2178,1576
2182,1597
2190,1626
2190,1631
2184,1655
2182,1683
2177,1710
2177,1720
2169,1764
2165,1807
2161,1827
2158,1862
2152,1901
2150,1932
2134,2068
2134,2141
2138,2174
2154,2263
2153,2266
2143,2267
2140,2269
2124,2273
2117,2273
2094,2281
2089,2281
2079,2285
2062,2288
2060,2290
2056,2290
2045,2295
2042,2295
2040,2297
2034,2298
2030,2301
2010,2306
2006,2311
2004,2319
1611,2319
1610,2314
1608,2313
1605,2305
1603,2304
1596,2290
1592,2286
1589,2286
1583,2281
1581,2281
1573,2274
1539,2261
1517,2256
1511,2252
1507,2252
1491,2244
1471,2240
1475,2219
1477,2189
1479,2182
1485,2123
1490,2092
1488,2048
1476,1965
1476,1939
1472,1892
1462,1833
1450,1734
1439,1671
1428,1627
1428,1609
1435,1586
1436,1572
1434,1570
1432,1562
1432,1545
1427,1535
1427,1531
1423,1525
1422,1519
1420,1517
1420,1513
1416,1505
1415,1498
1413,1496
1413,1491
1411,1489
1409,1481
