Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
A1BG,0.27278634,0.254350173,0.236690947,0.270668638,5.039853454
A2M,144.112548,186.0345647,230.1554817,296.8537743,95.85182575
A2ML1,30.2093113,56.58881151,36.23220956,18.01226743,87.96786431
A2MP1,0.645484617,0.648688901,0.830930457,0.971676725,5.392310034
A3GALT2,0.078349817,0.041849075,0.139045789,0.144996033,4.929858979
A4GALT,25.05742613,28.75098144,38.83024444,44.47674376,37.13027456
AAAS,19.58836263,18.63557657,17.31993944,15.42892191,24.25922378
AACS,30.51522353,22.46870272,11.64968293,9.656051354,14.10793217
AACSP1,0.849166971,0.742197963,1.372399807,1.903837909,5.073020886
AADAC,36.22351718,36.66979646,29.28036508,17.37370929,65.12512543
AADACL2,28.90688171,53.11521939,40.50228151,29.22938052,52.74172741
AADACL3,280.4995249,52.03216294,16.44315165,5.838434304,33.91587556
AADACP1,0.351016403,0.374511238,0.503486403,0.520486322,5.431401129
AADAT,4.880536897,3.53639311,4.923196377,5.451718504,8.884888765
AAGAB,29.59239073,22.98213337,21.48532948,19.67500763,26.75053898
AAK1,3.125094459,2.810231333,3.174225243,3.382586836,7.266837439
AAMDC,20.37252658,29.80430283,23.90542904,23.26571378,24.8806446
AAMP,83.10447985,77.40673624,72.9538962,68.47346614,75.11800105
AANAT,0.123121879,0.176220106,0.194406953,0.187697882,5.013317835
AAR2,32.15613795,33.64903616,29.56548916,30.14699388,27.11493129
AARD,5.540836338,6.981419344,10.15475057,16.01668071,5.57539334
AARS,34.70762021,35.39310329,37.27701974,41.06962479,32.53076619
AARS2,19.1469023,13.27663259,11.92374106,10.35954637,20.21726882
AARSD1,1.159103237,1.176465925,0.881872392,0.620481869,5.914348691
AASDH,10.04840003,10.12092537,8.498677786,7.883146669,12.5242559
AASDHPPT,18.03478349,15.52023144,15.25429473,15.86083976,16.45855596
AASS,12.37123774,9.748422492,12.7456871,14.07387323,14.51983394
AATBC,28.63747292,9.833027543,5.869933336,3.491769855,15.05338045
AATF,16.76748625,17.99253994,16.06286197,16.06792046,16.59370776
AATK,11.14166783,13.83575711,11.31871591,11.43902876,13.6562338
ABALON,46.81067912,37.95835571,38.11000314,45.04897894,26.4091983
ABAT,3.816565943,2.311907022,2.153177498,2.533023584,5.877849228
ABCA1,16.04588233,12.77404714,12.16231665,11.18454252,14.99389764
ABCA10,8.002963175,4.570062687,5.186128196,5.661130217,8.432692742
ABCA11P,1.059588387,1.327848372,1.245353244,0.922146837,6.579383882
ABCA12,38.53158556,39.98044772,20.61384011,9.785702786,38.2320075
ABCA13,1.165034021,0.450985099,0.590735033,0.758729764,4.998933664
ABCA17P,0.19860587,0.131728173,0.208874439,0.236338999,4.984771905
ABCA2,15.33469186,14.14640025,14.4379569,15.87930568,14.88739493
ABCA3,10.89241169,11.30337046,9.135635288,10.91060854,9.513250847
ABCA4,4.469383176,0.810323196,0.404050023,0.21218182,5.442737746
ABCA5,10.37694898,12.37371882,10.7215982,8.679519168,16.2652949
ABCA6,6.116311797,4.075471551,5.648565668,6.573329034,8.303429018
ABCA7,9.911366592,8.873266761,6.982647319,5.408604086,14.66709432
ABCA8,25.04326949,14.57262164,22.92995134,30.01501068,15.68212984
ABCA9,5.698763667,4.363518787,5.945755443,6.481382152,10.78797391
ABCB1,6.225947094,6.3583594,6.87782916,6.944214567,9.919770988
ABCB10,14.54280823,13.73757119,15.11913644,15.68707275,16.15104881
