Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
A1BG,0.259181212,0.235472891,0.205176434,0.264562999,0.38121996
A2M,152.5105248,207.4376677,222.5527744,304.5869533,181.6769337
A2ML1,32.61610776,57.26569351,33.19037007,19.91869632,116.4369712
A2MP1,0.630283849,0.688783079,0.839662153,0.945765249,0.675684618
A3GALT2,0.05459221,0.01667764,0.047471677,0.149324927,0
A4GALT,24.92440202,30.113209,34.0702208,44.95790683,35.58708615
AAAS,19.72128121,18.80522127,19.5518245,15.57438488,19.12734808
AACS,31.72449949,23.27231649,16.3447127,9.716170319,18.73686067
AACSP1,0.788168343,0.757381207,1.044024068,1.843464799,0.402953061
AADAC,36.0714921,33.46966047,24.45050477,18.45887895,98.64675723
AADACL2,26.51668456,44.57975275,49.05233769,29.36099717,67.18422204
AADACL3,309.2041026,55.7387359,28.29148753,6.086711033,131.3269153
AADACP1,0.360517536,0.339849013,0.361885082,0.494402208,0.936594454
AADAT,4.374722226,3.695596692,4.69615841,5.452543909,5.156193087
AAGAB,28.65698003,22.12932034,24.36260666,19.6311724,25.32576553
AAK1,3.002751778,2.845983079,3.274011134,3.4146682,2.975078655
AAMDC,20.79891269,31.48296126,29.62238221,23.16494143,14.63525614
AAMP,80.01876476,75.41224144,81.10516414,68.01179956,75.6992463
AANAT,0.091929166,0.083202989,0.195388688,0.197231578,0.282986261
AAR2,31.0474442,33.09779789,32.68797033,29.91834146,30.72791723
AARD,5.674584039,8.106165678,6.8349984,15.88952792,0.956485888
AARS,34.56424417,35.57771291,37.37917448,42.36802699,41.11724771
AARS2,18.72607883,13.31084986,11.88863317,10.74833168,21.81428361
AARSD1,1.188159761,1.23972577,1.354368113,0.628413982,0.559490177
AASDH,9.33949544,9.50379951,9.734930642,7.980849905,10.80654686
AASDHPPT,16.86455855,14.9384123,16.22036054,15.94568077,17.2805366
AASS,12.25645032,10.01957632,12.7917703,14.62300491,18.85642844
AATBC,28.76497972,9.739444436,6.401799673,3.575783878,22.81446538
AATF,17.39574428,18.52520582,19.66581459,16.28234678,15.00340325
AATK,13.70035776,16.1437156,14.28919846,12.55444713,23.77615519
ABALON,45.93447342,38.05201731,36.08601484,45.07992307,36.28960531
ABAT,3.466802278,2.453532365,2.344955174,2.500083063,2.345466198
ABCA1,15.12877925,12.51174116,14.86253098,11.46567355,13.46408495
ABCA10,6.305138609,4.558051566,5.032122708,5.645528636,3.314273373
ABCA11P,0.958832794,1.277160073,1.407813812,0.893363935,1.019270688
ABCA12,35.65224806,33.8834042,28.1440105,10.21496566,52.07794674
ABCA13,1.031699366,0.352055574,0.46091653,0.810473058,0.550394618
ABCA17P,0.181081611,0.135519206,0.200332054,0.222023102,0.05016779
ABCA2,14.61248715,14.50038797,15.25839338,16.16173064,14.97862031
ABCA3,11.11539768,12.39404938,9.451430703,11.10101137,8.550612323
ABCA4,4.046110883,0.780147513,0.620929453,0.200438414,1.697734013
ABCA5,9.078635518,11.13378136,12.86603124,8.750482583,9.32522413
ABCA6,5.77269932,4.044335199,5.745045465,6.505365327,3.558299322
ABCA7,9.162580834,8.490125434,7.248261593,5.479651943,9.261830733
ABCA8,24.04309494,15.68462775,18.31596452,30.33904535,19.10807123
ABCA9,5.065351344,4.585950439,4.696410041,6.421667051,3.439914668
ABCB1,5.849499484,6.708604332,7.878275585,7.046085865,9.073490797
ABCB10,13.57496564,13.44059465,16.62751725,15.75337513,15.87854823
ABCB11,1.70116268,0.598381141,0.601587247,0.820036415,0.183325291
ABCB4,1.571068986,1.916488155,2.246182411,1.618729333,1.895887821
ABCB5,0.052891779,0.273593103,0.173110642,0.029388935,0.171928928
ABCB6,0.917237349,0.747296047,0.985879471,0.442112792,0.447898961
ABCB7,20.98912031,18.56002876,19.64428105,18.33173398,22.0191739
ABCB8,11.77086483,9.002756651,8.583209575,6.645408111,9.305538076
ABCB9,12.26992729,12.27855591,12.19599307,11.5808598,10.96893133
ABCC1,19.60027762,14.85216083,15.73830204,14.38711141,27.89136341
ABCC10,5.57441986,6.382031201,6.43228855,5.480084816,7.699725604
ABCC11,2.534753653,7.043257356,2.925026787,1.495037886,1.65548016
ABCC12,0.050378496,0.068267192,0.073308484,0.002467258,0.014833003
ABCC2,0.662430317,0.938735749,1.240208203,0.84882769,1.295798324
ABCC3,8.339830429,7.127130819,6.664826525,2.414478137,5.318003452
ABCC4,4.662193932,6.770459633,7.571948607,2.960653731,3.732449745
ABCC5,10.57653283,9.204494261,10.12478828,15.7759063,18.21459157
ABCC6,0.972784865,0.850772156,0.535084043,1.16984573,0.361987706
ABCC6P1,0.300901483,0.25248873,0.156943897,0.211309249,0.093020667
ABCC6P2,0.349078902,0.16474252,0.488660374,0.407723796,0.130371851
ABCC8,0.203571371,0.357373635,0.344944583,0.96700034,0.182240186
ABCC9,7.068176424,8.514662929,9.887577323,12.73434723,8.585236645
ABCD1,7.770691793,6.51328614,6.440314451,6.643036699,6.267007693
ABCD2,1.507877616,0.670837797,0.847425542,3.308267205,0.731933312
ABCD3,40.83309315,32.81562766,31.19979716,21.75713042,33.95419888
ABCD4,10.78610568,12.52494851,12.06729748,8.955565033,7.87166982
ABCE1,33.54474209,28.52849606,32.53721459,26.30484715,32.25503171
ABCF1,35.84584419,35.04552481,37.05956656,32.50798805,39.80563652
ABCF2,7.303271009,7.553365123,7.298659103,6.044439159,6.74335843
ABCF3,23.47617721,23.78454951,24.8312127,21.06844539,23.41939461
ABCG1,10.96072275,12.23645878,14.13274098,11.07364634,10.24127254
ABCG2,2.62956296,1.835167532,3.006291939,2.90301952,4.178911476
ABCG4,0.432225205,0.217079025,0.218499512,0.389329545,2.039013455
ABCG5,0.113333611,0.098012882,0.14593821,0.096169823,0.008991471
ABCG8,0.131240728,0.127494127,0.04261468,0.124271297,0.072345591
ABHD1,0.810863865,0.844017698,0.686201056,0.756345172,0.746407633
ABHD10,21.90182334,22.83367438,25.09893477,24.1314243,20.83141835
ABHD11,17.58418667,24.43179189,19.7893782,18.33762127,14.88308881
ABHD12,56.01552053,55.32847174,52.41842607,38.56112943,54.49186901
ABHD12B,31.89644834,26.0521523,17.95041605,4.072244485,17.24852926
ABHD13,15.64149444,14.34198617,15.92639136,14.56772486,16.33917989
ABHD14A,17.58933935,13.48207937,12.7446639,13.83981187,13.26485843
ABHD14B,49.228875,42.02005374,35.93200634,35.46886195,32.37362393
ABHD15,13.16654117,10.58752487,10.85708766,14.9451891,12.12372042
ABHD16A,1.586067172,1.570261391,1.485064152,0.679340525,0.934911663
ABHD16B,7.485029691,5.671370695,5.671443237,6.279447587,6.719109463
ABHD17A,58.82827575,64.56408246,66.19569279,56.25881881,63.70228941
ABHD17AP1,1.100460063,1.310355905,1.315795387,1.216822521,0.843929123
ABHD17AP6,0.454465475,0.440969561,0.388610383,0.49735663,0.390204362
ABHD17B,21.78386565,19.54734215,21.00454937,18.43434871,20.07472378
ABHD17C,26.8007414,22.47663739,17.88208451,14.62252575,22.01391165
ABHD18,5.735230325,4.383015373,5.113634504,4.533216768,6.113573248
ABHD2,23.52257868,27.0099944,29.68624576,30.7449265,23.67138781
ABHD3,11.35041926,8.408759077,7.45311036,5.644362757,6.593218011
ABHD4,19.06829528,17.60660694,20.35608635,21.26608222,20.84750905
ABHD5,343.3990948,128.8738619,82.35898948,48.79677912,154.768863
ABHD6,39.93866975,35.58349602,27.60760339,12.9791052,32.34781125
ABHD8,29.5887513,20.56862371,19.55861814,17.88859954,23.70021059
